firmwareVersion,vendorType,phyIndex,relPos,boardNum,phyClass,softVersion,serverDate,isFRU,alias,bom,physicalFlag,deviceName,deviceIp,containedIn,beginDate,cleiCode,mfgName,desc,name,hardVersion,remark,asset,model,assetNumber,serialNum,buildInfo,devId
,1.3.6.1.4.1.9.12.3.1.9.15.25,30,0,FOC11163P04,9,,2016-01-26T15:20:40-05:00,1,,,2,router.lab.local,10.101.0.1,29,,,Cisco,40GB IDE Disc Daughter Card,40GB IDE Disc Daughter Card on Slot 1 SubSlot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=15&phyIndex=30, ,,FOC11163P04,,15
4.1,,0,-1,,-1,3.01.13s168,2016-01-26T15:43:57-05:00,1,,,2,4210,10.101.0.227,0,,,3Com,4210,4210,REV.A,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=107&phyIndex=0,9K2F93KF01E32,,9K2F93KF01E32,,107
,,0,-1,,-1,,2016-01-30T17:10:05-05:00,1,,,2,5400ESX2.haw.int,10.101.0.108,0,,,,5400ESX2.haw.int,5400ESX2.haw.int,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=214&phyIndex=0,,,,,214
142,,0,-1,,-1,7.1.045 Release 2418P06,2016-02-03T08:06:16-05:00,1,,,2,5900 10GbE Base-T,10.20.10.10,0,,,HP,5900 10GbE Base-T,5900 10GbE Base-T,Ver.B,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=221&phyIndex=0,CN34FR401V,,CN34FR401V,,221
142,1.3.6.1.4.1.25506.11.1.113,2,1,CN34FR401V,3,7.1.045 Release 2418P06,2016-02-03T08:06:16-05:00,1,,0235A0X5,0,5900 10GbE Base-T,10.20.10.10,1,2013-04-07T00:00:00-04:00,NONE,HP,HP 5900AF-48XGT-4QSFP+ Switch Software Version 7.1.045,5900AF,Ver.B,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=221&phyIndex=2,HP 5900AF-48XGT-4QSFP+ Switch,,CN34FR401V,00.00.00,221
2.03,,0,-1,,-1,5.20 Release 3507P29,2016-01-26T15:27:11-05:00,1,,,2,830wired.lab.local,10.101.0.231,0,,,HP,830wired.lab.local,830wired.lab.local,REV.B,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=75&phyIndex=0,CN31G5P00D,,CN31G5P00D,,75
721,1.3.6.1.4.1.25506.11.1.26,2,1,9T2FA2MDCFC00,3,5.20.99 Release 2221P20,2016-01-26T15:20:43-05:00,1,,0235A37R,2,HP_5500EI,192.168.1.221,1,2008-08-10T00:00:00-04:00,NONE,HP,HP A5500-24G-PoE+ EI Switch with 2 Interface Slots Software Version 5.20.99,A5500-EI,REV.C,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=10&phyIndex=2,JG241A,,9T2FA2MDCFC00,01.00.00,10
721,1.3.6.1.4.1.25506.11.1.26,3,2,9T2FA2MDCF180,3,5.20.99 Release 2221P20,2016-01-26T15:20:43-05:00,1,,0235A37R,2,HP_5500EI,192.168.1.221,1,2008-08-09T00:00:00-04:00,NONE,HP,HP A5500-24G-PoE+ EI Switch with 2 Interface Slots Software Version 5.20.99,A5500-EI,REV.C,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=10&phyIndex=3,JG241A,,9T2FA2MDCF180,01.00.00,10
,1.3.6.1.4.1.9.12.3.1.5.2,25,6,,5,,2016-01-26T15:20:40-05:00,2,,,0,router.lab.local,10.101.0.1,3,,,Cisco,AIM Container Slot 0,AIM Container Slot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=15&phyIndex=25,,,,,15
,1.3.6.1.4.1.9.12.3.1.5.2,7,2,,5,,2016-01-27T01:12:51-05:00,2,,,0,router6wan,10.254.0.7,3,,,Cisco,AIM Container Slot 0,AIM Container Slot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=100&phyIndex=7,,,,,100
,1.3.6.1.4.1.9.12.3.1.5.2,8,2,,5,,2016-01-27T01:12:25-05:00,2,,,0,router5,10.254.0.6,3,,,Cisco,AIM Container Slot 0,AIM Container Slot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=96&phyIndex=8,,,,,96
,1.3.6.1.4.1.9.12.3.1.5.2,8,2,,5,,2016-01-27T01:12:14-05:00,2,,,0,router3wan,10.254.0.4,3,,,Cisco,AIM Container Slot 0,AIM Container Slot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=92&phyIndex=8,,,,,92
,1.3.6.1.4.1.9.12.3.1.5.2,8,2,,5,,2016-01-27T01:12:18-05:00,2,,,0,router4,10.254.0.5,3,,,Cisco,AIM Container Slot 0,AIM Container Slot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=94&phyIndex=8,,,,,94
,1.3.6.1.4.1.9.12.3.1.5.2,8,2,,5,,2016-01-27T01:10:55-05:00,2,,,0,router1wan,10.254.0.2,3,,,Cisco,AIM Container Slot 0,AIM Container Slot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=82&phyIndex=8,,,,,82
,1.3.6.1.4.1.9.12.3.1.5.2,7,0,,5,,2016-01-27T01:11:30-05:00,2,,,0,core1WAN,10.254.0.1,3,,,,AIM Container Slot 0,AIM Container Slot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=85&phyIndex=7,,,,,85
,1.3.6.1.4.1.9.12.3.1.5.2,8,2,,5,,2016-01-27T01:12:21-05:00,2,,,0,router2wan,10.254.0.3,3,,,Cisco,AIM Container Slot 0,AIM Container Slot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=90&phyIndex=8,,,,,90
,1.3.6.1.4.1.9.12.3.1.5.2,8,2,,5,,2016-01-29T19:19:36-05:00,2,,,0,R1Br4Core,10.11.10.1,3,,,Cisco,AIM Container Slot 0,AIM Container Slot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=210&phyIndex=8,,,,,210
,1.3.6.1.4.1.9.12.3.1.5.2,6,0,,5,,2016-01-29T19:19:01-05:00,2,,,0,R1Br3Core,10.12.10.1,3,,,,AIM Container Slot 0,AIM Container Slot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=208&phyIndex=6,,,,,208
,1.3.6.1.4.1.9.12.3.1.5.2,26,7,,5,,2016-01-26T15:20:40-05:00,2,,,0,router.lab.local,10.101.0.1,3,,,Cisco,AIM Container Slot 1,AIM Container Slot 1,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=15&phyIndex=26,,,,,15
,,0,-1,,-1,,2016-01-26T15:25:05-05:00,1,,,2,aruba3600.lab.local,10.101.0.235,0,,,,aruba3600.lab.local,aruba3600.lab.local,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=68&phyIndex=0,,,,,68
,,0,-1,,-1,,2016-02-24T03:25:37-05:00,1,,,2,Aruba7010,10.101.0.236,0,,,,Aruba7010,Aruba7010,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=238&phyIndex=0,,,,,238
,1.3.6.1.4.1.11.2.3.7.8.6.4,2,1,,4,,2016-01-29T19:20:19-05:00,2,,,0,HP-3500yl-24G,10.12.10.10,1,,,Hewlett-Packard,HP J8692A Switch backplane,Backplane,2,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=211&phyIndex=2,J8692A,,,,211
,1.3.6.1.4.1.11.2.3.7.8.6.4,2001,1,,4,,2016-01-29T14:03:15-05:00,2,,,0,3800_2,10.10.10.4,1001,,,Hewlett-Packard,HP J9573A Switch backplane,Backplane,3,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=202&phyIndex=2001,J9573A,,,,202
,1.3.6.1.4.1.11.2.3.7.8.6.4,2001,1,,4,,2016-01-29T14:01:00-05:00,2,,,0,Jan-00,10.10.10.3,1001,,,Hewlett-Packard,HP J9573A Switch backplane,Backplane,3,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=198&phyIndex=2001,J9573A,,,,198
,1.3.6.1.4.1.11.2.3.7.8.6.4,102001,1,,4,,2016-01-29T14:22:23-05:00,2,,,0,2920,10.10.10.6,101001,,,Hewlett-Packard,HP J9727A Switch backplane,Backplane,2,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=205&phyIndex=102001,J9727A,,,,205
,1.3.6.1.4.1.11.2.3.7.8.6.4,202001,1,,4,,2016-01-29T14:22:23-05:00,2,,,0,2920,10.10.10.6,201001,,,Hewlett-Packard,HP J9727A Switch backplane,Backplane,2,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=205&phyIndex=202001,J9727A,,,,205
,1.3.6.1.4.1.11.2.3.7.8.6.4,2,1,,4,,2016-01-26T15:21:16-05:00,2,,,0,HP-5406zl,10.10.10.2,1,,,Hewlett-Packard,HP J8697A Switch backplane,Backplane,2,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=53&phyIndex=2,J8697A,,,,53
721,0,65,1,9T2FA2MDCFC00,9,5.20.99 Release 2221P20,2016-01-26T15:20:43-05:00,2,,,0,HP_5500EI,192.168.1.221,11,,,HP,HP A5500-24G-PoE+ EI Switch with 2 Interface Slots Software Version 5.20.99,Board,REV.C,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=10&phyIndex=65,JG241A,,9T2FA2MDCFC00,,10
721,0,71,1,9T2FA2MDCF180,9,5.20.99 Release 2221P20,2016-01-26T15:20:43-05:00,2,,,0,HP_5500EI,192.168.1.221,17,,,HP,HP A5500-24G-PoE+ EI Switch with 2 Interface Slots Software Version 5.20.99,Board,REV.C,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=10&phyIndex=71,JG241A,,9T2FA2MDCF180,,10
142,0,192,1,CN34FR401V,9,V200R001B03D025SP42,2016-02-03T08:06:16-05:00,2,,,0,5900 10GbE Base-T,10.20.10.10,12,,,,MODULE LEVEL1,Board,Ver.B,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=221&phyIndex=192,,,CN34FR401V,,221
,1.3.6.1.4.1.9.12.3.1.9.5.8,3,0,明明明FFFF明明明明,9,12.4(25d),2016-01-29T19:19:36-05:00,2,,,0,R1Br4Core,10.11.10.1,2,,,Cisco,C2600 Mainboard,C2600 Mainboard,2,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=210&phyIndex=3,,,明明明FFFF明明明明,,210
,1.3.6.1.4.1.9.12.3.1.9.5.8,3,0,,9,,2016-01-29T19:19:01-05:00,2,,,0,R1Br3Core,10.12.10.1,2,,,,C2600 Mainboard,C2600 Mainboard,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=208&phyIndex=3,,,,,208
,1.3.6.1.4.1.9.12.3.1.9.5.8,3,0,,9,,2016-01-27T01:11:30-05:00,2,,,0,core1WAN,10.254.0.1,2,,,,C2600 Mainboard,C2600 Mainboard,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=85&phyIndex=3,,,,,85
